customer_id,subscription_type,start_date,end_date
1,Premium,2024-07-09,
2,Standard,2020-07-26,2023-11-10
3,Basic,2023-08-05,
4,Standard,2023-10-04,
5,Premium,2024-11-18,
6,Premium,2021-10-23,
7,Premium,2024-06-26,
8,Premium,2023-01-08,2023-06-26
9,Standard,2021-03-17,
10,Basic,2023-03-24,
11,Standard,2021-02-20,
12,Basic,2020-10-29,2022-05-25
13,Premium,2021-03-24,2023-09-21
14,Basic,2023-01-03,
15,Premium,2022-02-25,
16,Standard,2022-12-18,
17,Basic,2023-05-26,
18,Standard,2023-02-27,
19,Premium,2023-05-17,
20,Standard,2024-12-14,
21,Premium,2022-09-03,
22,Premium,2024-07-03,
23,Premium,2021-08-11,
24,Standard,2024-12-30,
25,Standard,2024-05-03,
26,Basic,2021-11-20,
27,Basic,2020-11-27,
28,Standard,2020-12-24,
29,Standard,2023-10-15,
30,Standard,2023-07-27,
31,Standard,2022-04-08,
32,Premium,2022-07-01,
33,Premium,2024-10-02,
34,Premium,2024-05-06,2024-05-12
35,Standard,2020-11-14,2023-02-25
36,Premium,2023-08-25,2024-11-05
37,Premium,2021-07-02,
38,Basic,2024-04-08,
39,Basic,2021-06-01,
40,Premium,2022-01-20,
41,Premium,2024-12-10,
42,Premium,2022-05-19,
43,Standard,2022-11-14,
44,Basic,2020-09-05,2022-10-20
45,Basic,2020-05-24,
46,Basic,2023-03-24,
47,Premium,2023-04-04,
48,Standard,2024-04-26,
49,Basic,2022-04-03,
50,Basic,2023-07-26,
51,Standard,2023-04-12,2024-12-07
52,Premium,2023-06-22,
53,Premium,2022-04-20,2024-01-10
54,Basic,2023-09-11,2024-09-28
55,Basic,2024-03-25,
56,Standard,2024-10-18,2025-01-05
57,Basic,2022-08-01,
58,Standard,2020-05-09,
59,Basic,2020-10-17,
60,Basic,2020-08-26,
61,Basic,2020-11-16,
62,Premium,2020-07-15,
63,Standard,2024-04-25,2024-06-05
64,Standard,2023-10-30,
65,Premium,2020-04-16,
66,Premium,2022-09-16,
67,Premium,2023-04-22,
68,Standard,2022-12-28,2023-04-15
69,Basic,2022-12-05,
70,Premium,2022-01-04,2023-12-15
71,Premium,2023-03-10,
72,Premium,2023-03-01,
73,Basic,2021-10-29,
74,Basic,2023-09-07,2024-11-02
75,Premium,2024-10-27,
76,Basic,2020-06-27,
77,Premium,2020-05-06,
78,Basic,2022-02-26,
79,Standard,2020-10-08,
80,Standard,2023-06-13,
81,Basic,2021-03-31,2023-01-12
