transaction_id,customer_id,transaction_date,amount
1,171,2020-07-17,20
2,2810,2021-01-15,20
3,6994,2024-03-05,20
4,7930,2024-05-17,10
5,9966,2024-05-05,20
6,6712,2024-07-24,30
7,3992,2023-02-21,10
8,7136,2020-08-30,30
9,827,2022-11-16,10
10,9858,2022-07-08,10
11,130,2020-07-23,20
12,1418,2024-05-18,20
13,6799,2022-12-19,30
14,6774,2023-10-03,10
15,1408,2020-05-14,10
16,5137,2021-03-09,20
17,8786,2024-02-01,10
18,1038,2021-05-04,20
19,7547,2020-12-04,20
20,5904,2022-07-16,30
21,23,2021-06-21,20
22,9826,2023-05-07,20
23,6288,2023-02-11,10
24,1406,2020-10-22,30
25,9671,2023-03-13,30
26,6468,2021-03-24,30
27,1195,2024-11-17,20
28,8768,2021-02-13,30
29,7924,2023-07-16,20
30,1607,2020-06-27,20
31,8644,2023-11-19,20
32,8317,2021-02-08,20
33,6251,2021-03-18,30
34,1684,2024-06-04,30
35,9099,2022-05-17,10
36,8622,2022-12-02,30
37,2752,2023-07-14,10
38,7505,2020-05-03,30
39,7664,2023-12-16,30
40,8554,2023-08-03,30
41,8624,2022-05-20,20
42,2723,2022-11-23,30
43,5640,2023-06-11,30
44,3224,2024-07-12,10
45,5442,2021-11-16,30
46,9823,2024-10-18,20
47,7382,2023-04-05,30
48,5185,2022-07-04,10
49,270,2021-05-12,30
50,7705,2021-01-24,30
51,6116,2024-05-15,10
52,9316,2023-05-18,30
53,7299,2021-01-17,10
54,4534,2021-01-18,10
55,1043,2022-03-03,20
56,1642,2022-12-07,20
57,6604,2023-11-29,10
58,3298,2020-10-11,20
59,7056,2024-01-24,20
60,1384,2024-07-20,10
61,3997,2022-05-22,30
62,15,2023-04-30,30
63,1675,2021-01-11,30
64,5100,2020-05-26,20
65,3618,2023-11-26,20
66,8100,2021-03-04,30
67,6558,2021-04-21,10
68,5475,2022-02-13,10
69,1481,2021-06-04,10
70,9938,2022-03-29,20
71,7699,2021-10-12,30
72,3047,2022-06-18,10
73,7364,2022-10-04,30
74,5958,2021-09-03,30
75,4211,2022-09-14,20
76,5472,2020-04-30,10
77,976,2021-09-11,20
78,1686,2023-02-08,30
79,2084,2022-11-03,30
80,1687,2021-11-19,30
81,4159,2020-03-16,10
82,6810,2020-05-20,10
83,8701,2020-12-14,10
84,188,2024-06-12,30
85,2783,2023-12-24,30
86,4189,2020-04-16,10
87,4101,2021-05-15,30
88,2073,2024-05-03,30
89,6652,2021-10-31,30
90,98,2022-05-19,10
91,9484,2021-02-15,20
92,6806,2023-12-29,20
93,3465,2022-06-19,20
94,1788,2024-08-07,10
95,7764,2025-02-07,30
96,5405,2021-11-24,20
97,684,2024-12-08,20
98,1133,2023-07-10,10
99,5878,2021-06-10,30
100,6199,2023-06-12,30
101,3837,2021-12-17,10
102,9807,2022-10-08,20
103,1042,2023-07-19,30
104,5890,2024-12-02,30
105,855,2023-11-13,20
106,5739,2024-06-25,10
107,2027,2020-05-13,20
108,5366,2021-02-17,30
109,2551,2022-01-06,10
110,7090,2023-05-15,20
111,240,2023-09-14,20
112,490,2022-03-19,10
113,1037,2021-08-04,30
114,9531,2025-01-02,10
115,6133,2023-05-15,10
116,4781,2023-01-01,30
117,7910,2024-05-28,20
118,3270,2024-07-27,10
119,6123,2021-05-26,10
120,5711,2022-07-21,20
121,1768,2020-06-12,30
122,4709,2020-04-24,20
123,8354,2022-10-11,20
124,8848,2024-07-04,10
125,3007,2020-12-01,10
126,1257,2020-10-13,30
127,7078,2021-11-17,10
128,5352,2023-11-28,20
129,750,2023-10-20,20
130,709,2024-06-27,30
131,6417,2022-07-30,10
132,9814,2020-12-23,10
133,6951,2020-12-18,30
134,8658,2024-02-17,30
135,9293,2024-09-05,10
136,1714,2021-11-19,30
137,7937,2023-02-04,20
138,8309,2020-05-22,30
139,196,2023-06-18,20
140,4715,2020-11-19,20
141,9667,2020-06-01,20
142,1275,2024-01-21,10
143,3710,2023-07-30,20
144,339,2021-08-01,30
145,6762,2022-05-31,20
146,3512,2021-09-12,10
147,4276,2024-09-13,10
148,1657,2022-10-19,10
149,6763,2023-01-23,10
150,8835,2021-09-13,30
151,9873,2021-11-08,10
152,9543,2020-12-12,30
153,5274,2023-01-24,10
154,8811,2020-03-06,10
155,1170,2021-06-29,30
156,8444,2022-08-10,20
157,8174,2022-01-03,30
158,302,2024-02-03,20
159,1567,2020-03-07,30
160,7817,2020-10-19,20
161,2211,2022-09-24,10
162,7231,2022-06-06,20
163,8804,2025-01-10,20
164,6589,2024-05-30,10
165,1944,2022-12-27,10
166,8266,2023-05-29,20
167,4638,2022-09-25,20
168,8349,2024-04-29,30
169,5386,2021-09-26,10
170,256,2022-04-28,10
171,3111,2022-08-16,10
172,9244,2023-11-23,30
173,5033,2024-10-31,30
174,6262,2023-03-25,20
175,2418,2022-09-24,30
176,2257,2021-07-10,30
177,2635,2021-10-24,30
178,1892,2022-10-08,10
179,3465,2021-06-25,20
180,9968,2022-05-11,30
181,7427,2022-11-23,30
182,1971,2022-04-09,30
183,3954,2024-10-02,10
184,5819,2021-05-17,20
185,6772,2020-11-29,20
186,6749,2021-01-21,30
187,5004,2024-03-26,20
188,649,2023-11-30,10
189,9833,2020-12-05,30
190,8721,2023-01-01,20
191,2102,2024-02-22,30
192,419,2021-03-02,10
193,2353,2021-09-30,30
194,5776,2022-03-03,10
195,8277,2022-10-05,30
196,7692,2024-11-06,30
197,1752,2020-11-14,20
198,2658,2021-07-26,20
199,6124,2023-09-29,10
200,5525,2025-01-06,10
201,2352,2022-08-16,10
202,8072,2021-11-25,20
203,1290,2020-12-01,30
204,2703,2020-11-28,10
205,8836,2020-06-20,30
206,2906,2023-09-24,30
