log_id,customer_id,activity_date,activity_type
1,3117,2022-02-22,Purchase
2,9356,2022-01-29,Purchase
3,4769,2021-08-14,Purchase
4,3418,2020-05-12,Login
5,3289,2021-01-23,Login
6,3567,2020-09-16,Login
7,9867,2020-04-19,Purchase
8,5523,2022-09-25,Login
9,5427,2022-03-04,Purchase
10,6427,2022-04-30,Purchase
11,2198,2024-04-23,Login
12,3038,2022-11-24,Purchase
13,7955,2024-10-31,Login
14,5031,2021-07-31,Login
15,3335,2024-02-07,Login
16,6022,2020-10-08,Login
17,7817,2023-02-10,Purchase
18,2962,2024-06-27,Login
19,3782,2023-02-05,Login
20,6461,2022-02-19,Purchase
21,245,2022-03-28,Login
22,8534,2020-05-04,Purchase
23,8201,2022-07-07,Purchase
24,4575,2022-08-27,Purchase
25,2070,2022-10-26,Purchase
26,277,2020-05-07,Login
27,7075,2024-06-06,Purchase
28,5021,2024-02-19,Login
29,3157,2021-10-23,Login
30,3133,2024-03-04,Login
31,4520,2023-06-20,Purchase
32,6124,2023-07-07,Login
33,4667,2020-04-03,Purchase
34,9047,2022-12-17,Login
35,769,2020-04-14,Purchase
36,9715,2020-07-25,Login
37,3244,2023-04-28,Purchase
38,6202,2024-02-19,Login
39,8073,2024-07-29,Purchase
40,5913,2020-06-21,Login
41,409,2024-10-03,Login
42,4582,2021-08-02,Purchase
43,4103,2024-06-15,Purchase
44,8622,2023-05-17,Purchase
45,9552,2023-12-22,Support Request
46,2678,2023-12-22,Login
47,4029,2025-01-26,Login
48,7921,2024-10-04,Support Request
49,5562,2021-06-04,Purchase
50,8129,2022-12-30,Support Request
51,5528,2023-05-28,Cancel
52,1649,2021-12-09,Login
53,7813,2022-05-22,Purchase
54,6051,2024-09-11,Login
55,1910,2020-11-30,Login
56,8650,2024-07-08,Cancel
57,7134,2020-11-26,Cancel
58,1944,2022-03-19,Support Request
59,6269,2022-12-17,Purchase
60,2891,2021-06-06,Cancel
61,8001,2020-04-14,Login
62,7852,2021-01-03,Login
63,9400,2023-06-01,Purchase
64,3604,2020-04-23,Purchase
65,5153,2021-05-14,Cancel
66,7149,2024-02-09,Login
67,9718,2023-03-14,Purchase
68,3885,2023-10-30,Support Request
69,8877,2021-09-21,Login
70,8913,2024-09-15,Cancel
71,7366,2020-06-11,Purchase
72,1804,2023-10-17,Login
73,4815,2022-02-23,Login
74,7062,2023-08-12,Support Request
75,6054,2022-12-10,Purchase
76,5973,2021-09-04,Login
77,9955,2020-04-17,Login
78,2091,2020-08-29,Support Request
79,3675,2023-12-15,Login
80,5003,2023-12-24,Login
81,6673,2020-08-02,Login
82,2276,2025-02-25,Login
83,223,2022-01-15,Purchase
84,5739,2023-10-31,Purchase
85,3293,2023-08-31,Login
86,1329,2022-12-26,Purchase
87,8001,2021-05-22,Login
88,525,2021-11-30,Login
89,7003,2021-01-31,Purchase
90,6275,2023-04-30,Support Request
91,4308,2024-05-19,Login
92,1862,2020-08-24,Login
93,302,2022-01-23,Purchase
94,2697,2022-09-12,Purchase
95,6590,2022-11-18,Cancel
96,9889,2023-05-05,Login
97,6660,2020-12-11,Purchase
98,5517,2023-05-12,Login
99,9894,2021-09-10,Purchase
100,2521,2022-02-20,Login
101,1921,2021-06-11,Purchase
102,4458,2021-01-19,Purchase
103,531,2020-05-27,Purchase
104,7761,2024-09-24,Login
105,510,2021-08-15,Login
106,7591,2023-12-02,Cancel
107,7917,2022-12-10,Login
108,8802,2022-12-19,Purchase
109,2135,2023-12-01,Purchase
110,4716,2020-06-17,Purchase
111,4092,2023-11-27,Support Request
112,312,2020-10-29,Purchase
113,1858,2021-06-22,Cancel
114,6466,2022-09-27,Purchase
115,8486,2024-11-12,Login
116,8743,2023-08-13,Login
117,7708,2020-11-12,Login
118,2571,2023-12-08,Login
119,7914,2021-03-06,Purchase
120,881,2021-01-14,Login
121,9309,2020-08-06,Purchase
122,605,2022-05-12,Purchase
123,3070,2024-02-27,Login
124,3048,2021-01-07,Support Request
125,6796,2024-02-04,Login
126,7270,2020-12-04,Support Request
127,8511,2022-06-27,Purchase
128,2925,2021-05-13,Purchase
129,8970,2021-12-03,Login
130,4585,2023-06-11,Login
131,3088,2022-12-15,Support Request
132,264,2020-09-07,Login
133,2933,2021-09-10,Login
134,8878,2021-07-30,Support Request
135,1284,2024-03-11,Purchase
136,8796,2023-01-04,Cancel
137,3601,2024-06-06,Login
138,4434,2024-04-18,Cancel
139,6661,2023-05-20,Support Request
140,8318,2022-09-04,Purchase
141,3253,2024-05-25,Cancel
142,2565,2022-03-08,Login
143,3107,2024-05-06,Cancel
144,662,2021-04-07,Login
145,8309,2024-12-18,Login
146,1979,2021-08-31,Login
147,8868,2022-06-18,Purchase
148,6723,2021-01-24,Purchase
149,7127,2022-08-16,Purchase
150,4553,2023-01-02,Login
151,5075,2022-04-04,Support Request
152,3725,2020-10-09,Cancel
153,9710,2020-12-30,Login
154,4328,2020-06-05,Purchase
155,4894,2024-05-25,Login
156,1976,2020-09-15,Login
157,5692,2024-11-28,Purchase
158,880,2023-09-22,Purchase
159,4138,2024-08-02,Support Request
160,3945,2022-02-10,Login
161,9932,2022-02-06,Support Request
